id,title,solicitation_number,agency,posted_date,response_deadline,naics_code,award_amount,place_of_performance,description,contact_name,contact_email,contact_phone,url,keywords_matched,relevance,service_type,source,sector,opportunity_type,engagement_model,status,is_new,notes
manual-020,Northeastern University Campus Shuttle & Safe Ride,,Northeastern University,2026-02-01,2026-05-15,485310,400000,"Boston, MA","Campus shuttle and late-night safe ride service for Northeastern University. Routes connecting Huntington Ave campus, Columbus Ave residence halls, and Ruggles MBTA station. Includes day shuttle service and evening/weekend safe ride program. Fleet of 8+ vehicles.",NU Procurement,procurement@northeastern.edu,,https://www.northeastern.edu/procurement/,shuttle; fleet; contract,high,Campus Shuttle,Manual,private,contract,contract,active,True,University shuttle contract. Academic year schedule with summer reduction.
manual-016,Steward Health Care System - Multi-Facility Patient Transport,,Steward Health Care,2026-01-20,2026-07-01,621910,380000,Eastern MA,"Patient transport and inter-facility shuttle services for Steward Health Care's Massachusetts hospitals including St. Elizabeth's (Brighton), Good Samaritan (Brockton), Holy Family (Methuen), and Norwood Hospital. Wheelchair, stretcher, and ambulatory transport between facilities and to specialty care appointments.",Steward Procurement,,,https://www.steward.org,nemt; patient transport; wheelchair; stretcher; ambulatory; shuttle; contract,high,NEMT,Manual,private,contract,contract,active,True,Multi-hospital system contract. Good opportunity for NEMT providers with stretcher capability.
manual-012,Biogen Employee Shuttle Contract - Cambridge/Boston,,Biogen Inc.,2026-01-25,2026-04-15,485310,350000,"Cambridge / Boston, MA","Employee shuttle service contract for Biogen's Cambridge headquarters and Boston-area facilities. Routes connecting Biogen campus to MBTA stations, parking facilities, and satellite offices. Morning and evening peak service plus midday circulator. 5-6 shuttle vehicles required.",Biogen Procurement,procurement@biogen.com,,https://www.biogen.com/en_us/procurement.html,shuttle; employee shuttle; corporate shuttle; contract,high,Corporate Shuttle,Manual,private,contract,contract,active,True,"Corporate shuttle contract. Biotech corridor opportunity. Similar contracts available from Moderna, Sanofi, Takeda."
manual-002,MBTA The RIDE Paratransit Supplement - South Shore Zone,,Massachusetts Bay Transportation Authority (MBTA),2025-10-01,2025-11-15,485320,320000,"South Shore, MA","Supplemental paratransit transportation services for MBTA The RIDE program covering the South Shore service zone. Requires ADA-compliant vehicles, wheelchair lifts, and trained operators. Estimated 200 trips per week.",Michael Chen,mchen@mbta.com,617-555-0198,https://www.mbta.com/procurement,wheelchair; paratransit; transportation services; transit; procurement; contract; subcontract; vendor,high,Paratransit,Manual,public,contract,contract,active,False,Subcontracting opportunity under main RIDE contract. Contact MBTA procurement for vendor registration.
manual-003,Beth Israel Deaconess Medical Center - Patient Shuttle Contract,,Beth Israel Deaconess Medical Center,2025-11-01,2026-03-15,485320,275000,"Boston, MA","Patient shuttle transportation services between Beth Israel Deaconess Medical Center campuses in Boston and surrounding communities. Services include wheelchair-accessible vehicles, scheduled routes, and on-demand patient transfers between facilities. Seeking qualified transport vendors with healthcare experience.",Procurement Office,procurement@bidmc.harvard.edu,,https://www.bidmc.org,wheelchair; shuttle; transportation services; contract; vendor,high,Paratransit,Manual,private,contract,contract,active,False,Private hospital contract. Multi-campus shuttle service. Healthcare transport experience preferred.
manual-010,CVS Omnicare Long-Term Care Pharmacy Delivery - MA Routes,,CVS Health / Omnicare,2026-01-10,2026-12-31,492110,220000,"Statewide, MA","Contracted pharmacy delivery routes serving nursing homes, assisted living facilities, and long-term care centers across Massachusetts. Daily scheduled deliveries of medications, medical supplies, and IV solutions. Multiple route territories available. HIPAA compliance and chain-of-custody tracking required.",CVS Supplier Diversity,supplier.diversity@cvshealth.com,,https://www.cvshealth.com/about/diversity-and-inclusion/supplier-diversity.html,delivery; pharmacy; contract,high,Pharmacy Delivery,Manual,private,contract,contract,active,True,Rolling enrollment for new route operators. Guaranteed daily volume. Good fit for cargo van operators.
manual-014,Elder Services of Merrimack Valley - Senior Transport Program,,Elder Services of Merrimack Valley,2026-01-15,2026-04-01,485320,200000,"Merrimack Valley, MA","Senior transportation services for elderly and disabled residents of the Merrimack Valley region. Door-to-door transport to medical appointments, adult day programs, nutrition sites, and essential services. Title III-B and state-funded program. Approximately 150 trips per week.",Transportation Coordinator,transport@esmv.org,978-683-7747,https://www.esmv.org/transportation,transportation services; contract,high,Senior Transport,Manual,public,contract,contract,active,True,Federally funded senior transport. Reliable annual renewal. Multiple AAA regions in MA have similar contracts.
manual-009,Quest Diagnostics MA Specimen Courier Routes,,Quest Diagnostics,2026-01-05,2026-12-31,492110,180000,Greater Boston / Central MA,"Dedicated medical specimen courier routes for Quest Diagnostics across Greater Boston and Central Massachusetts. 15-20 daily pickup stops at physician offices, clinics, and hospitals with delivery to Quest processing labs. Routes operate Monday-Saturday. Seeking reliable courier operators with temperature-controlled transport capability.",Quest Logistics,,,https://www.questdiagnostics.com/our-company/supplier-resources,courier; delivery; specimen; contract; dedicated route; guaranteed volume,high,Medical Courier,Manual,private,contract,contract,active,True,Rolling recruitment. Dedicated route contracts with daily guaranteed volume. Specimen handling training provided.
manual-018,LabCorp Specimen Courier Network - Eastern MA,,Laboratory Corporation of America (LabCorp),2026-01-01,2026-12-31,492110,150000,Eastern MA,"Medical specimen courier routes for LabCorp across Eastern Massachusetts. Daily scheduled pickups at physician offices, urgent care clinics, and hospitals with delivery to LabCorp processing facilities. Temperature-controlled transport required for certain specimen types. Multiple route territories available.",LabCorp Logistics,,,https://www.labcorp.com/suppliers,courier; delivery; specimen; laboratory,high,Medical Courier,Manual,private,contract,contract,active,True,Rolling recruitment for route operators. Guaranteed daily volume. Medical courier experience preferred.
manual-004,Blue Cross Blue Shield MA - NEMT Vendor Network Expansion,,Blue Cross Blue Shield of Massachusetts,2025-12-01,2026-06-30,621910,0,"Statewide, MA","Blue Cross Blue Shield of Massachusetts is expanding its non-emergency medical transportation vendor network. Seeking licensed NEMT providers to serve members across all Massachusetts regions. Providers must have compliant vehicles, trained drivers, and ability to integrate with BCBS scheduling systems. Rolling enrollment for qualified providers.",Provider Network Team,providernetwork@bcbsma.com,,https://www.bluecrossma.org/provider,nemt; non-emergency medical; medical transport; non-emergency; medical transportation; vendor; provider network,high,NEMT,Manual,private,partnership,contract,active,False,Rolling enrollment - no hard deadline. BCBS MA expanding NEMT provider network statewide. Good opportunity for established NEMT operators.
dir-fad54c167538,Amazon DSP (Delivery Service Partner),,Amazon DSP (Delivery Service Partner),2026-02-10,,,0,Massachusetts,"Start your own delivery business with Amazon. DSP owners manage teams of drivers delivering Amazon packages. Requires $10K liquid capital minimum. Multi-year contract with guaranteed volume. | Requirements: Business entity, $10K+ liquid capital, pass background check | Earning Potential: $75K-$300K annually (business owner)",,,,https://logistics.amazon.com/marketing/opportunity,last-mile,high,Last-Mile Delivery,Directory,private,contract,contract,unverified,False,Category: Last-Mile | Earning: $75K-$300K annually (business owner) | Contract: Dedicated multi-year service contract with guaranteed route volume
dir-ed6ab3afdc4c,FedEx Ground ISP (Independent Service Provider),,FedEx Ground ISP (Independent Service Provider),2026-02-10,,,0,Massachusetts,"Own and operate FedEx Ground delivery routes. ISP model allows owning multiple routes and managing driver teams. Long-term contracted routes with defined territories. | Requirements: Business entity, significant capital investment, fleet of vehicles | Earning Potential: $100K-$500K+ annually per route cluster",,,,https://www.fedex.com/en-us/about/business-opportunities.html,freight,high,Freight,Directory,private,contract,contract,unverified,False,Category: Freight | Earning: $100K-$500K+ annually per route cluster | Contract: Exclusive territory contract with annual renewal and route ownership
dir-a99b02a099d3,Modivcare (formerly Providence Service Corp),,Modivcare (formerly Providence Service Corp),2026-02-10,,,0,Massachusetts,"Major NEMT broker operating in Massachusetts. Contracts with Medicaid/Medicare plans for non-emergency medical transportation. Seeking qualified transport providers for ongoing contracted service. | Requirements: Licensed NEMT provider, compliant vehicles, trained drivers, insurance | Earning Potential: $25-$45/trip, $150K-$400K annually with dedicated fleet",,,,https://www.modivcare.com/transportation-providers,nemt,high,NEMT,Directory,private,contract,contract,unverified,False,"Category: NEMT | Earning: $25-$45/trip, $150K-$400K annually with dedicated fleet | Contract: Provider network contract with guaranteed trip volume by zone"
dir-874977e4cc08,MTM Inc,,MTM Inc,2026-02-10,,,0,Massachusetts,"National NEMT broker managing transportation for health plans. Active in Massachusetts Medicaid transportation network. Offers multi-year provider contracts with steady volume. | Requirements: Licensed NEMT provider, compliant vehicles, background checks, insurance | Earning Potential: $20-$40/trip, $120K-$350K annually with dedicated fleet",,,,https://www.mtm-inc.net/transportation-providers/,nemt,high,NEMT,Directory,private,contract,contract,unverified,False,"Category: NEMT | Earning: $20-$40/trip, $120K-$350K annually with dedicated fleet | Contract: Annual provider agreement with territory-based trip assignments"
dir-7e14e59f4864,Veyo,,Veyo,2026-02-10,,,0,Massachusetts,"Technology-driven NEMT platform. Connects qualified drivers with non-emergency medical transport rides. Offers both individual driver and fleet provider contracts in MA. | Requirements: Valid license, 4-door vehicle, smartphone, background check | Earning Potential: $18-$30/hour individual; $200K+ annually fleet contract",,,,https://www.veyo.com/drivers,nemt,high,NEMT,Directory,private,contract,contract,unverified,False,Category: NEMT | Earning: $18-$30/hour individual; $200K+ annually fleet contract | Contract: Fleet provider contract with dedicated service area or per-trip basis
dir-9a57c394a4d3,XPO Logistics,,XPO Logistics,2026-02-10,,,0,Massachusetts,"Partner with XPO for last-mile, LTL, and truckload freight opportunities. Independent contractor and fleet owner contract programs with dedicated lanes. | Requirements: CDL, commercial vehicle, insurance, MC/DOT authority | Earning Potential: $150K-$500K+ annually per truck",,,,https://www.xpo.com/carrier-opportunities,freight,high,Freight,Directory,private,contract,contract,unverified,False,Category: Freight | Earning: $150K-$500K+ annually per truck | Contract: Dedicated lane contracts and fleet owner agreements
dir-639e75b43f76,Uber Freight,,Uber Freight,2026-02-10,,,0,Massachusetts,"Book and manage freight loads through Uber Freight platform. For carriers and owner-operators with CDL and commercial vehicles. Offers dedicated lane contracts. | Requirements: CDL, commercial vehicle, MC/DOT authority | Earning Potential: Varies by load and lane; dedicated contracts $100K-$300K+",,,,https://www.uberfreight.com/carrier,freight,high,Freight,Directory,private,contract,contract,unverified,False,Category: Freight | Earning: Varies by load and lane; dedicated contracts $100K-$300K+ | Contract: Dedicated lane contracts and spot market loads
dir-daa908f9212a,MV Transportation,,MV Transportation,2026-02-10,,,0,Massachusetts,"Largest private provider of paratransit services in the US. Operates MBTA The RIDE and other MA transit contracts. Actively seeks subcontractors for fixed-route and demand-response service. | Requirements: Licensed transport provider, ADA-compliant vehicles, trained drivers | Earning Potential: $200K-$1M+ annually depending on fleet size",,,,https://www.mvtransit.com/subcontracting,paratransit,high,Paratransit,Directory,private,contract,contract,unverified,True,Category: Paratransit | Earning: $200K-$1M+ annually depending on fleet size | Contract: Multi-year subcontract agreements with guaranteed trip minimums
dir-3bdab3b77d68,National Express Transit (NEXT),,National Express Transit (NEXT),2026-02-10,,,0,Massachusetts,"Major transit management company operating in MA. Manages fixed-route, paratransit, and shuttle contracts. Seeks subcontractors and independent fleet owners for contract work. | Requirements: Licensed provider, compliant vehicles, DOT compliance | Earning Potential: $150K-$800K annually depending on contract scope",,,,https://www.nationalexpresstransit.com/contract-opportunities/,paratransit,high,Paratransit,Directory,private,contract,contract,unverified,True,Category: Paratransit | Earning: $150K-$800K annually depending on contract scope | Contract: Subcontract agreements under municipal and regional transit authority contracts
dir-8d87d72b5cee,First Transit,,First Transit,2026-02-10,,,0,Massachusetts,"One of the largest private-sector transit management companies. Operates campus, corporate, and municipal shuttle contracts across MA. Seeking fleet subcontractors. | Requirements: Licensed transport operator, commercial vehicles, insurance | Earning Potential: $200K-$600K annually per contract",,,,https://www.firsttransit.com/contract-services,shuttle/charter,high,Shuttle/Charter,Directory,private,contract,contract,unverified,True,Category: Shuttle/Charter | Earning: $200K-$600K annually per contract | Contract: Annual and multi-year shuttle and transit management subcontracts
dir-e0ef6e0e93e1,Northeast Medical Transport Alliance,,Northeast Medical Transport Alliance,2026-02-10,,,0,Massachusetts,"Regional NEMT provider cooperative serving Massachusetts hospitals and health systems. Coordinates contracted medical transport between facilities, rehab centers, and dialysis clinics. | Requirements: Licensed NEMT provider, HIPAA compliance, wheelchair-accessible vehicles | Earning Potential: $180K-$500K annually with multi-vehicle fleet",,,,https://www.nemt-alliance.org,nemt,high,NEMT,Directory,private,contract,contract,unverified,True,Category: NEMT | Earning: $180K-$500K annually with multi-vehicle fleet | Contract: Annual service agreements with hospital systems and health plans
dir-5289a13c6793,Global Medical Response (AMR),,Global Medical Response (AMR),2026-02-10,,,0,Massachusetts,"AMR/Global Medical Response operates non-emergency medical transport in Massachusetts. Contracts with health systems, insurers, and municipalities. Seeks qualified NEMT subcontractors. | Requirements: Licensed NEMT provider, EMT-trained staff, compliant fleet | Earning Potential: $250K-$750K annually for contracted fleet providers",,,,https://www.amr.net/services/medical-transportation,nemt,high,NEMT,Directory,private,contract,contract,unverified,True,Category: NEMT | Earning: $250K-$750K annually for contracted fleet providers | Contract: Multi-year subcontract with service level agreements and performance bonuses
dir-075dff891b48,Partners Healthcare / Mass General Brigham Transport,,Partners Healthcare / Mass General Brigham Transport,2026-02-10,,,0,Massachusetts,"Mass General Brigham (formerly Partners Healthcare) operates inter-campus shuttle and patient transport across 16+ facilities in Greater Boston. RFPs for contracted transport vendors issued periodically. | Requirements: Commercial transport license, ADA-compliant fleet, healthcare transport experience | Earning Potential: $300K-$1.2M annually for multi-campus shuttle contract",,,,https://www.massgeneralbrigham.org/en/about/procurement,hospital shuttle,high,Hospital Shuttle,Directory,private,contract,contract,unverified,True,Category: Hospital Shuttle | Earning: $300K-$1.2M annually for multi-campus shuttle contract | Contract: Multi-year service contract with annual renewal options
dir-70d447e88fa1,Boston University / BU Shuttle Contract,,Boston University / BU Shuttle Contract,2026-02-10,,,0,Massachusetts,"Boston University operates an extensive campus shuttle system connecting Charles River, Medical Campus, and Fenway areas. Periodically contracts out shuttle operations to private transport vendors. | Requirements: Licensed commercial transport operator, ADA fleet, DOT compliance | Earning Potential: $400K-$800K annually",,,,https://www.bu.edu/procurement/,campus shuttle,high,Campus Shuttle,Directory,private,contract,contract,unverified,True,Category: Campus Shuttle | Earning: $400K-$800K annually | Contract: Annual campus shuttle operations contract with multi-year option
dir-437de6a3fae8,Harvard University Shuttle Services,,Harvard University Shuttle Services,2026-02-10,,,0,Massachusetts,"Harvard operates shuttle routes across Cambridge, Allston, and Longwood campuses. Transport vendor contracts for evening/weekend shuttle, inter-campus routes, and event transport. | Requirements: Licensed commercial operator, CDL drivers, GPS-equipped fleet | Earning Potential: $500K-$1.5M annually for full shuttle contract",,,,https://www.harvard.edu/procurement,campus shuttle,high,Campus Shuttle,Directory,private,contract,contract,unverified,True,Category: Campus Shuttle | Earning: $500K-$1.5M annually for full shuttle contract | Contract: Multi-year operations contract with performance metrics
dir-7c0f197832bc,MIT Campus Shuttle & Transport,,MIT Campus Shuttle & Transport,2026-02-10,,,0,Massachusetts,"MIT contracts shuttle and transport services between Cambridge campus, Lincoln Lab, and other facilities. Includes regular scheduled routes and on-demand research team transport. | Requirements: Licensed operator, security clearance for Lincoln Lab routes, commercial fleet | Earning Potential: $300K-$700K annually",,,,https://web.mit.edu/facilities/procurement/,campus shuttle,high,Campus Shuttle,Directory,private,contract,contract,unverified,True,Category: Campus Shuttle | Earning: $300K-$700K annually | Contract: Annual contract with optional renewal periods
dir-db6d2563ed87,Massport (Logan Airport Ground Transport),,Massport (Logan Airport Ground Transport),2026-02-10,,,0,Massachusetts,"Massachusetts Port Authority contracts ground transportation services at Logan Airport including hotel shuttles, rental car transport, employee shuttles, and cargo handling transport. | Requirements: Licensed commercial transport, TSA compliance, airport-rated vehicles | Earning Potential: $200K-$2M+ annually depending on contract scope",,,,https://www.massport.com/massport/business/bids-opportunities/,airport,high,Airport Transport,Directory,private,contract,contract,unverified,True,Category: Airport | Earning: $200K-$2M+ annually depending on contract scope | Contract: Multi-year concession and service agreements through public bid process
dir-c128ff7675a2,Biogen / Biotech Campus Shuttle Contracts,,Biogen / Biotech Campus Shuttle Contracts,2026-02-10,,,0,Massachusetts,"Biogen and other MA biotech companies (Moderna, Sanofi, Takeda) contract employee shuttle services between Cambridge/Boston campuses, parking facilities, and transit stations. | Requirements: Licensed commercial transport, corporate insurance minimums, GPS fleet tracking | Earning Potential: $150K-$500K annually per corporate client",,,,https://www.biogen.com/en_us/procurement.html,corporate shuttle,high,Corporate Shuttle,Directory,private,contract,contract,unverified,True,Category: Corporate Shuttle | Earning: $150K-$500K annually per corporate client | Contract: Annual corporate shuttle contract with defined routes and schedules
dir-e746c074ba82,GATRA (Greater Attleboro Taunton Regional Transit),,GATRA (Greater Attleboro Taunton Regional Transit),2026-02-10,,,0,Massachusetts,"Regional transit authority serving southeastern MA. Contracts demand-response paratransit, dial-a-ride, and fixed-route service to private operators. Regular RFP cycles. | Requirements: Licensed transit provider, ADA vehicles, drug testing program | Earning Potential: $200K-$800K annually",,,,https://www.gatra.org/procurement/,paratransit,high,Paratransit,Directory,private,contract,contract,unverified,True,Category: Paratransit | Earning: $200K-$800K annually | Contract: Multi-year service contract with regional transit authority
dir-0256ff099734,MWRTA (MetroWest Regional Transit Authority),,MWRTA (MetroWest Regional Transit Authority),2026-02-10,,,0,Massachusetts,"MetroWest RTA contracts demand-response and fixed-route transit services in the Framingham/Natick/Marlborough corridor. Seeks private operators for paratransit and shuttle service. | Requirements: Licensed transit operator, ADA-compliant fleet, trained drivers | Earning Potential: $150K-$600K annually",,,,https://www.mwrta.com/procurement,paratransit,high,Paratransit,Directory,private,contract,contract,unverified,True,Category: Paratransit | Earning: $150K-$600K annually | Contract: Annual operations contract with multi-year renewal option
dir-feb0560daa91,CATA (Cape Ann Transportation Authority),,CATA (Cape Ann Transportation Authority),2026-02-10,,,0,Massachusetts,"Cape Ann TA contracts fixed-route and demand-response services on the North Shore. Private operators provide vehicles and drivers under contracted service agreements. | Requirements: Licensed provider, commercial fleet, FTA compliance | Earning Potential: $100K-$400K annually",,,,https://canntran.com/about/procurement/,paratransit,high,Paratransit,Directory,private,contract,contract,unverified,True,Category: Paratransit | Earning: $100K-$400K annually | Contract: Service contract with regional transit authority funding
dir-72d0b3007963,Quest Diagnostics Courier Network (MA),,Quest Diagnostics Courier Network (MA),2026-02-10,,,0,Massachusetts,"Quest Diagnostics contracts medical specimen courier services across Massachusetts. Dedicated daily routes picking up samples from clinics, hospitals, and physician offices for delivery to labs. | Requirements: Commercial vehicle, OSHA training, DOT medical card, clean driving record | Earning Potential: $80K-$250K annually per route",,,,https://www.questdiagnostics.com/our-company/supplier-resources,medical courier,high,Medical Courier,Directory,private,contract,contract,unverified,True,Category: Medical Courier | Earning: $80K-$250K annually per route | Contract: Dedicated route contract with daily scheduled pickups and guaranteed volume
dir-084a0bd2cd80,LabCorp Courier Services (MA),,LabCorp Courier Services (MA),2026-02-10,,,0,Massachusetts,"LabCorp contracts independent courier operators for medical specimen transport across Massachusetts. Scheduled routes with defined pickup points and lab delivery destinations. | Requirements: Cargo van/vehicle, OSHA compliance, specimen handling training | Earning Potential: $70K-$200K annually per route",,,,https://www.labcorp.com/suppliers,medical courier,high,Medical Courier,Directory,private,contract,contract,unverified,True,Category: Medical Courier | Earning: $70K-$200K annually per route | Contract: Annual route contract with defined territory and pickup schedule
dir-989a3fbcaa31,CVS Health / Omnicare Pharmacy Delivery (MA),,CVS Health / Omnicare Pharmacy Delivery (MA),2026-02-10,,,0,Massachusetts,"CVS Health / Omnicare contracts pharmacy delivery services to nursing homes, assisted living facilities, and long-term care facilities across Massachusetts. Scheduled daily routes. | Requirements: Licensed delivery vehicle, pharmacy delivery certification, HIPAA compliance | Earning Potential: $100K-$350K annually for multi-route operator",,,,https://www.cvshealth.com/about/diversity-and-inclusion/supplier-diversity.html,pharmacy delivery,high,Pharmacy Delivery,Directory,private,contract,contract,unverified,True,Category: Pharmacy Delivery | Earning: $100K-$350K annually for multi-route operator | Contract: Annual pharmacy delivery contract with guaranteed facility routes
dir-d484cc7bf5d4,Elder Services of Merrimack Valley,,Elder Services of Merrimack Valley,2026-02-10,,,0,Massachusetts,"Area Agency on Aging contracts transportation services for seniors and disabled residents in the Merrimack Valley. Title III-B funded transport with guaranteed trip volumes. | Requirements: ADA-accessible vehicles, CORI checks, elder care training | Earning Potential: $80K-$300K annually",,,,https://www.esmv.org/transportation,senior transport,high,Senior Transport,Directory,private,contract,contract,unverified,True,Category: Senior Transport | Earning: $80K-$300K annually | Contract: Annual service contract funded through federal Older Americans Act
dir-16062802208e,WestMass ElderCare Transportation,,WestMass ElderCare Transportation,2026-02-10,,,0,Massachusetts,"Area Agency on Aging serving western MA. Contracts transportation for seniors to medical appointments, adult day programs, and essential services. Seeking transport vendor partners. | Requirements: ADA vehicles, trained drivers, elder care sensitivity training | Earning Potential: $60K-$250K annually",,,,https://www.wmeldercare.org/services/transportation/,senior transport,high,Senior Transport,Directory,private,contract,contract,unverified,True,Category: Senior Transport | Earning: $60K-$250K annually | Contract: Annual contract with trip-based reimbursement and guaranteed minimums
